Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name,price
79266,Get up to 30% discount,Fabhotels,Others,,,FABOMG30,https://linksredirect.com/?pub_id=41826&url=https://www.fabhotels.com/,live,2020-03-02,2020-07-31,02/03/2020,https://cdn0.cuelinks.com/campaigns/2323/original/Fabhotels.png?1492062451,2323,Fabhotels,
79959,Flat 10% Off on all BEARDO products,Beardo,Fashion,,,BEARDODD10,https://linksredirect.com/?pub_id=41826&url=https://www.beardo.in/,live,2020-05-13,2020-10-31,13/05/2020,https://cdn0.cuelinks.com/campaigns/2564/original/beardo.png?1497000496,2564,Beardo,
79960,Flat 15% Off on all BEARDO products,Beardo,Fashion,,,BEARDODD15,https://linksredirect.com/?pub_id=41826&url=https://www.beardo.in/,live,2020-05-13,2020-10-31,13/05/2020,https://cdn0.cuelinks.com/campaigns/2564/original/beardo.png?1497000496,2564,Beardo,
80026,10% on Testbook Pass above Rs 250,Testbook,Others,,"Discount is applied on Selling Price. In case, any offer is live on any specific product, coupon will still be applied on Selling price &amp; not on Offer price",,https://linksredirect.com/?pub_id=41826&url=https://testbook.com/,live,2020-05-18,2020-09-30,18/05/2020,https://cdn0.cuelinks.com/campaigns/3325/original/testbook.png?1503379423,3325,Testbook,
80546,Avail Upto 60% OFF + Flat 10% OFF at Indiangiftsportal,Indian Gifts Portal,Others,,,OMG10,https://linksredirect.com/?pub_id=41826&url=https://www.igp.com/,live,2020-06-26,2020-08-05,26/06/2020,https://cdn0.cuelinks.com/campaigns/1850/original/Indian-Gifts-Portal.png?1488869947,1850,Indian Gifts Portal,
80568,Upto 50% off on Fossil Mens Watches Wallets and Accessories,Fossil,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.fossil.com/en-in/sale/mens-sale/?page=1,live,2020-06-26,2020-08-31,26/06/2020,https://cdn0.cuelinks.com/campaigns/3880/original/Fossil.png?1567762651,3880,Fossil,
80569,Upto 50% off on Fossil womens Watches Wallets and Accessories,Fossil,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.fossil.com/en-in/sale/womens-sale/,live,2020-06-26,2020-08-31,26/06/2020,https://cdn0.cuelinks.com/campaigns/3880/original/Fossil.png?1567762651,3880,Fossil,
80595,Flat 50% off on Healthkart Selected Products,HealthKart,Health & Beauty,,,CELEBRATIONS,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80596,Flat 50% off on HealthViva,HealthKart,Health & Beauty,,,HVIVA50,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80597,Extra 20% off on Protein Shakes,HealthKart,Health & Beauty,,,HKPRO20,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80598,Extra 20% off on Apple Cider Vinegar,HealthKart,Health & Beauty,,,HKAC20,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80599,Extra 20% off on Omega,HealthKart,Health & Beauty,,,HKOMG20,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80600,Flat INR 100 off on minimum purchase of INR 999,HealthKart,Health & Beauty,,,SITE100,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80601,Flat INR 200 off on minimum purchase of INR 1999,HealthKart,Health & Beauty,,,SITE200,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80602,"EXTRA 15% off on Ayurveda, Herbs & Weight Loss Range on minimum order value of INR 1000",HealthKart,Health & Beauty,,Maximum capping is upto INR 150,HKNATURAL,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80603,EXTRA 10% off on Whey on minimum order value of INR 2999,HealthKart,Health & Beauty,,Maximum capping is upto INR 300,HKBODYBUILDERS,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80604,EXTRA 10% off on Mass Gainer on minimum order of INR 2000,HealthKart,Health & Beauty,,Maximum capping is upto INR 200,HKMASSBUILDERS,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80605,Extra 20% off on HealthKart on minimum purchase of INR 1499,HealthKart,Health & Beauty,,Maximum discount is INR 300,HKWEB20,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80606,INR 250 off on INR 2000 on first order with healthkart.com,HealthKart,Health & Beauty,,,NEW250,https://linksredirect.com/?pub_id=41826&url=https://www.healthkart.com/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/847/original/Healthkart.png?1490272752,847,HealthKart,
80634,Get Flat 50% OFF on Kaspersky Total Security for 3 Devices for 2 Years,Kaspersky,Others,,,INKIS50,https://linksredirect.com/?pub_id=41826&url=https://www.kaspersky.co.in/total-security,live,2020-07-03,2020-07-31,03/07/2020,https://cdn0.cuelinks.com/campaigns/2951/original/download_%285%29.png?1481291041,2951,Kaspersky,
80616,Get 15% OFF on your first Order,Mama Earth,Health & Beauty,,,NEW15,https://linksredirect.com/?pub_id=41826&url=https://mamaearth.in/,live,2020-07-01,2020-07-31,01/07/2020,https://cdn0.cuelinks.com/campaigns/3787/original/Mamaearth.png?1555390334,3787,Mama Earth,
