Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name
81355,Get 25% Off on all Face Products,TheManCompany,Health & Beauty,,,FACE25,https://linksredirect.com/?pub_id=41826&url=https://www.themancompany.com/,live,2020-08-31,2020-12-31,31/08/2020,https://cdn0.cuelinks.com/campaigns/2514/original/The-Man-Company.png?1489068747,2514,TheManCompany
81356,Get 25% Off on all Body Products,TheManCompany,Health & Beauty,,,BODY25,https://linksredirect.com/?pub_id=41826&url=https://www.themancompany.com/,live,2020-08-31,2020-12-31,31/08/2020,https://cdn0.cuelinks.com/campaigns/2514/original/The-Man-Company.png?1489068747,2514,TheManCompany
81654,Get 25% Off on all Face Products,TheManCompany,Health & Beauty,,,FACE25,https://linksredirect.com/?pub_id=41826&url=https://www.themancompany.com/,live,2020-10-07,2020-12-31,07/10/2020,https://cdn0.cuelinks.com/campaigns/2514/original/The-Man-Company.png?1489068747,2514,TheManCompany
81655,Get 25% Off on all Body Products,TheManCompany,Health & Beauty,,,BODY25,https://linksredirect.com/?pub_id=41826&url=https://www.themancompany.com/,live,2020-10-07,2020-12-31,07/10/2020,https://cdn0.cuelinks.com/campaigns/2514/original/The-Man-Company.png?1489068747,2514,TheManCompany
81656,Get 25% Off on Body Perfume Trio,TheManCompany,Health & Beauty,,,TRIO25,https://linksredirect.com/?pub_id=41826&url=https://www.themancompany.com/,live,2020-10-07,2020-12-31,07/10/2020,https://cdn0.cuelinks.com/campaigns/2514/original/The-Man-Company.png?1489068747,2514,TheManCompany
81657,Get Rs.300 off entire order| Minimum purchase of Rs.3500 and Above,Gonoise,Electronics,,,GOSPORT,https://linksredirect.com/?pub_id=41826&url=https://www.gonoise.com/,live,2020-10-07,2020-12-31,07/10/2020,https://cdn0.cuelinks.com/campaigns/3278/original/noice.png?1587992359,3278,Gonoise
81658,Get Rs.300 off entire order| Minimum purchase of Rs.3500 and Above,Gonoise,Electronics,,,RUSH300,https://linksredirect.com/?pub_id=41826&url=https://www.gonoise.com/,live,2020-10-07,2020-12-31,07/10/2020,https://cdn0.cuelinks.com/campaigns/3278/original/noice.png?1587992359,3278,Gonoise
81659,Get Rs.400 OFF on minimum cart value Rs.4500 and Above,Gonoise,Electronics,,,XOXO400,https://linksredirect.com/?pub_id=41826&url=https://www.gonoise.com/,live,2020-10-07,2020-12-31,07/10/2020,https://cdn0.cuelinks.com/campaigns/3278/original/noice.png?1587992359,3278,Gonoise
82643,Get Flat 10% OFF on First Purchase,Kalki Fashion,Fashion,,,WELCOME10,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/,live,2020-12-04,2020-12-31,04/12/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion
82644,Get Flat 30% OFF and above on Kalki Fashion,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/ethnic/sale-30-and-above.html,live,2020-12-04,2020-12-31,04/12/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion
82645,Enjoy Instant 10% discount on Ethnic Festive Collection,Kalki Fashion,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.kalkifashion.com/ethnic/festive-sale.html,live,2020-12-04,2020-12-31,04/12/2020,https://cdn0.cuelinks.com/campaigns/3492/original/KalkiFashion.png?1517566951,3492,Kalki Fashion
83375,Get flat 68% off on 2 year Plan + 3 Months Free on Nord VPN,NordVPN,Others,,,,https://linksredirect.com/?pub_id=41826&url=https://nordvpn.com/,live,2020-12-28,2020-12-31,28/12/2020,https://cdn0.cuelinks.com/campaigns/3549/original/nord.png?1522062690,3549,NordVPN
